"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	4.070267081E-2	-1.197137386E-1	9.854835510E0	9.855646657E0
1.948000000E-3	4.070267081E-2	-1.173194647E-1	9.852440834E0	9.853223379E0
3.922500000E-3	4.070267081E-2	-1.221080124E-1	9.847652435E0	9.848493568E0
5.906166000E-3	3.591412306E-2	-1.268965602E-1	9.847652435E0	9.848535477E0
7.894166000E-3	2.873129770E-2	-1.221080124E-1	9.862017632E0	9.862815400E0
9.884766000E-3	4.309694469E-2	-1.268965602E-1	9.859623909E0	9.860534656E0
1.187576600E-2	4.788549617E-2	-1.316851079E-1	9.857229233E0	9.858225101E0
1.386948000E-2	5.506832153E-2	-1.412622184E-1	9.852440834E0	9.853607356E0
1.586410500E-2	4.070267081E-2	-1.316851079E-1	9.854835510E0	9.855799339E0
1.787766000E-2	3.351984918E-2	-1.268965602E-1	9.854835510E0	9.855709475E0
1.987366000E-2	2.873129770E-2	-1.268965602E-1	9.869200706E0	9.870058298E0
2.187011400E-2	3.591412306E-2	-1.340793967E-1	9.878777504E0	9.879752633E0
2.386703000E-2	2.394274808E-2	-1.245022863E-1	9.859623909E0	9.860439022E0
2.586426000E-2	4.309694469E-2	-1.364736706E-1	9.857229233E0	9.858268132E0
2.786176000E-2	4.309694469E-2	-1.292908341E-1	9.862017632E0	9.862959253E0
2.985956000E-2	4.070267081E-2	-1.292908341E-1	9.869200706E0	9.870131479E0
3.185756000E-2	3.351984918E-2	-1.292908341E-1	9.869200706E0	9.870104472E0
3.385573600E-2	3.591412306E-2	-1.221080124E-1	9.864412308E0	9.865233417E0
3.585362400E-2	4.070267081E-2	-1.221080124E-1	9.869200706E0	9.870040003E0
3.785215000E-2	3.830839694E-2	-1.197137386E-1	9.873989105E0	9.874789100E0
3.985080000E-2	3.591412306E-2	-1.221080124E-1	9.881172180E0	9.881991897E0
4.184960900E-2	4.070267081E-2	-1.221080124E-1	9.852440834E0	9.853281558E0
4.384851800E-2	3.112557158E-2	-1.245022863E-1	9.864412308E0	9.865247072E0
4.584751800E-2	3.591412306E-2	-1.149251908E-1	9.864412308E0	9.865147125E0
4.784664300E-2	3.351984918E-2	-1.101366431E-1	9.866806030E0	9.867477636E0
4.984584300E-2	4.788549617E-2	-1.221080124E-1	9.859623909E0	9.860496286E0
5.184511200E-2	5.027977005E-2	-1.268965602E-1	9.869200706E0	9.870144547E0
5.384418600E-2	3.591412306E-2	-1.292908341E-1	9.864412308E0	9.865324937E0
5.584361400E-2	3.591412306E-2	-1.101366431E-1	9.869200706E0	9.869880571E0
5.784309600E-2	2.873129770E-2	-1.101366431E-1	9.869200706E0	9.869857048E0
5.984386200E-2	2.873129770E-2	-1.268965602E-1	9.869200706E0	9.870058298E0
6.184519500E-2	1.675992459E-2	-1.245022863E-1	9.845257759E0	9.846059215E0
6.384652800E-2	2.873129770E-2	-1.197137386E-1	9.847652435E0	9.848421973E0
6.584762800E-2	4.549122229E-2	-1.197137386E-1	9.869200706E0	9.870031581E0
6.784896100E-2	4.788549617E-2	-1.245022863E-1	9.883566856E0	9.884466988E0
6.985032700E-2	4.309694469E-2	-1.364736706E-1	9.888355255E0	9.889390884E0
7.185369300E-2	4.070267081E-2	-1.340793967E-1	9.873989105E0	9.874983283E0
7.385502600E-2	5.267404765E-2	-1.364736706E-1	9.871595383E0	9.872679222E0
7.585639200E-2	4.070267081E-2	-1.245022863E-1	9.859623909E0	9.860493961E0
7.785202500E-2	3.830839694E-2	-1.292908341E-1	9.866806030E0	9.867727443E0
7.985335800E-2	3.112557158E-2	-1.149251908E-1	9.866806030E0	9.867524403E0
8.185472400E-2	4.070267081E-2	-1.221080124E-1	9.862017632E0	9.862857539E0
8.385625700E-2	3.351984918E-2	-1.197137386E-1	9.859623909E0	9.860407628E0
8.585759000E-2	3.591412306E-2	-1.149251908E-1	9.862017632E0	9.862752627E0
8.785895600E-2	3.830839694E-2	-1.221080124E-1	9.866806030E0	9.867635945E0
