"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	1.675992459E-2	-1.436564922E-1	9.792584419E0	9.793652418E0
1.948000000E-3	1.675992459E-2	-1.484450400E-1	9.792584419E0	9.793723829E0
3.922500000E-3	1.915419847E-2	-1.460507661E-1	9.790189743E0	9.791297816E0
5.906166000E-3	2.394274808E-2	-1.508393139E-1	9.771035194E0	9.772228739E0
7.894166000E-3	1.675992459E-2	-1.580221355E-1	9.785401344E0	9.786691543E0
9.884766000E-3	7.182824425E-3	-1.652049571E-1	9.792584419E0	9.793980492E0
1.188776600E-2	4.788549617E-3	-1.556278616E-1	9.794978142E0	9.796215584E0
1.388148000E-2	7.182824425E-3	-1.388679445E-1	9.797372818E0	9.798359558E0
1.587610500E-2	4.788549617E-3	-1.388679445E-1	9.787795067E0	9.788781309E0
1.787154900E-2	-2.394274808E-3	-1.460507661E-1	9.790189743E0	9.791279373E0
1.986754900E-2	-2.394274808E-3	-1.388679445E-1	9.792584419E0	9.793569301E0
2.186400300E-2	9.577099234E-3	-1.460507661E-1	9.797372818E0	9.798466037E0
2.386750300E-2	9.577099234E-3	-1.484450400E-1	9.790189743E0	9.791319771E0
2.586473300E-2	2.633702382E-2	-1.652049571E-1	9.794978142E0	9.796406643E0
2.786166100E-2	1.197137404E-2	-1.508393139E-1	9.792584419E0	9.793753388E0
2.985946100E-2	1.436564885E-2	-1.508393139E-1	9.792584419E0	9.793756607E0
3.185783600E-2	2.154847234E-2	-1.628106833E-1	9.804554939E0	9.805930308E0
3.385601200E-2	0.000000000E0	-1.604164094E-1	9.797372818E0	9.798686012E0
3.585440000E-2	9.577099234E-3	-1.388679445E-1	9.821314812E0	9.822301190E0
3.785292600E-2	4.788549617E-3	-1.508393139E-1	9.814132690E0	9.815292960E0
3.985127600E-2	2.394274808E-3	-1.532335877E-1	9.806949615E0	9.808146972E0
