"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	-8.858817071E-2	-8.619388938E-2	9.850046158E0	9.850821619E0
1.949000000E-3	-9.337671846E-2	-8.858817071E-2	9.859623909E0	9.860464021E0
3.924500000E-3	-8.140534163E-2	-8.858817071E-2	9.859623909E0	9.860357921E0
5.905833000E-3	-7.182824612E-2	-6.943397224E-2	9.847652435E0	9.848159161E0
7.894083000E-3	-7.422251999E-2	-7.182824612E-2	9.833286285E0	9.833828728E0
9.885083000E-3	-7.422251999E-2	-6.943397224E-2	9.842864037E0	9.843388771E0
1.187774900E-2	-7.422251999E-2	-6.943397224E-2	9.847652435E0	9.848176915E0
1.387032000E-2	-8.140534163E-2	-8.379961550E-2	9.850046158E0	9.850738983E0
1.586519500E-2	-7.661679387E-2	-8.619388938E-2	9.852440834E0	9.853115746E0
1.786286100E-2	-7.661679387E-2	-8.619388938E-2	9.854835510E0	9.855510258E0
1.985896100E-2	-7.661679387E-2	-8.379961550E-2	9.852440834E0	9.853095092E0
2.185477900E-2	-7.661679387E-2	-7.901106775E-2	9.835680962E0	9.836296705E0
2.385927900E-2	-6.464541703E-2	-7.422251999E-2	9.821314812E0	9.821808013E0
2.585658600E-2	-7.422251999E-2	-7.661679387E-2	9.816526413E0	9.817105986E0
2.785358600E-2	-6.703969836E-2	-7.901106775E-2	9.842864037E0	9.843409446E0
2.985085200E-2	-6.225114316E-2	-7.182824612E-2	9.835680962E0	9.836140223E0
3.184891400E-2	-6.943397224E-2	-6.464541703E-2	9.830892563E0	9.831350298E0
3.384720800E-2	-8.379961550E-2	-7.422251999E-2	9.830892563E0	9.831529888E0
3.584565200E-2	-7.661679387E-2	-8.379961550E-2	9.845257759E0	9.845912495E0
3.784423000E-2	-6.943397224E-2	-8.140534163E-2	9.859623909E0	9.860204437E0
3.984298000E-2	-5.506832153E-2	-6.943397224E-2	9.871595383E0	9.871993162E0
4.184140800E-2	-6.464541703E-2	-7.182824612E-2	9.878777504E0	9.879250139E0
4.384036200E-2	-6.464541703E-2	-6.703969836E-2	9.850046158E0	9.850486418E0
4.583910100E-2	-8.619388938E-2	-7.901106775E-2	9.878777504E0	9.879469475E0
4.783793400E-2	-8.140534163E-2	-6.943397224E-2	9.852440834E0	9.853021785E0
4.984005400E-2	-8.619388938E-2	-6.703969836E-2	9.845257759E0	9.845863296E0
5.183940000E-2	-7.422251999E-2	-7.661679387E-2	9.845257759E0	9.845835640E0
5.383847400E-2	-6.225114316E-2	-6.943397224E-2	9.845257759E0	9.845699397E0
5.583793800E-2	-6.464541703E-2	-7.422251999E-2	9.828497887E0	9.828990727E0
5.783721300E-2	-6.464541703E-2	-7.422251999E-2	9.818921089E0	9.819414411E0
5.983727900E-2	-5.985686928E-2	-7.901106775E-2	9.852440834E0	9.852939459E0
6.183864500E-2	-5.267404765E-2	-8.379961550E-2	9.850046158E0	9.850543449E0
6.383971100E-2	-4.788549617E-2	-7.901106775E-2	9.854835510E0	9.855268576E0
6.584104400E-2	-5.267404765E-2	-8.619388938E-2	9.850046158E0	9.850564108E0
6.784211000E-2	-4.549122229E-2	-8.619388938E-2	9.852440834E0	9.852922877E0
6.984344300E-2	-5.506832153E-2	-6.703969836E-2	9.857229233E0	9.857611018E0
7.184477600E-2	-7.661679387E-2	-7.422251999E-2	9.876383781E0	9.876959842E0
7.384644200E-2	-7.182824612E-2	-8.140534163E-2	9.876383781E0	9.876980446E0
7.584960800E-2	-6.943397224E-2	-8.379961550E-2	9.871595383E0	9.872195240E0
7.785030800E-2	-7.182824612E-2	-9.098244458E-2	9.854835510E0	9.855517238E0
7.985167400E-2	-6.225114316E-2	-8.140534163E-2	9.857229233E0	9.857761926E0
8.185330700E-2	-5.506832153E-2	-7.182824612E-2	9.862017632E0	9.862432944E0
8.385164000E-2	-5.746259540E-2	-7.661679387E-2	9.857229233E0	9.857694468E0
8.585300600E-2	-6.464541703E-2	-7.661679387E-2	9.847652435E0	9.848162653E0
8.785437200E-2	-7.182824612E-2	-7.182824612E-2	9.840469360E0	9.840993640E0
8.985600500E-2	-5.506832153E-2	-7.901106775E-2	9.847652435E0	9.848123362E0
9.185737100E-2	-7.182824612E-2	-8.619388938E-2	9.852440834E0	9.853079674E0
9.385943700E-2	-6.943397224E-2	-6.943397224E-2	9.862017632E0	9.862506472E0
9.586077000E-2	-8.379961550E-2	-6.464541703E-2	9.852440834E0	9.853009276E0
9.786213600E-2	-7.901106775E-2	-6.943397224E-2	9.847652435E0	9.848214169E0
9.986346900E-2	-7.661679387E-2	-7.182824612E-2	9.847652435E0	9.848212422E0
1.018648020E-1	-7.901106775E-2	-6.943397224E-2	9.842864037E0	9.843426043E0
1.038661680E-1	-7.422251999E-2	-6.464541703E-2	9.840469360E0	9.840961602E0
1.058677680E-1	-6.943397224E-2	-7.182824612E-2	9.842864037E0	9.843371009E0
1.078693680E-1	-6.464541703E-2	-7.182824612E-2	9.842864037E0	9.843338396E0
1.098683340E-1	-6.225114316E-2	-7.422251999E-2	9.845257759E0	9.845734332E0
1.118696670E-1	-7.901106775E-2	-6.464541703E-2	9.864412308E0	9.864940545E0
1.138713000E-1	-7.901106775E-2	-7.182824612E-2	9.850046158E0	9.850624922E0
1.158779660E-1	-7.422251999E-2	-7.422251999E-2	9.859623909E0	9.860182635E0
1.178795660E-1	-8.379961550E-2	-6.943397224E-2	9.850046158E0	9.850647327E0
1.198804990E-1	-7.901106775E-2	-8.140534163E-2	9.850046158E0	9.850699411E0
1.218818320E-1	-8.140534163E-2	-8.858817071E-2	9.850046158E0	9.850780883E0
1.238834320E-1	-5.985686928E-2	-8.379961550E-2	9.862017632E0	9.862555297E0
1.258850320E-1	-6.943397224E-2	-7.901106775E-2	9.845257759E0	9.845819629E0
1.278863980E-1	-7.182824612E-2	-7.901106775E-2	9.838075638E0	9.838655106E0
1.298874310E-1	-7.422251999E-2	-7.901106775E-2	9.842864037E0	9.843460986E0
1.318887970E-1	-5.746259540E-2	-8.619388938E-2	9.857229233E0	9.857773556E0
1.338898630E-1	-6.943397224E-2	-8.379961550E-2	9.845257759E0	9.845859221E0
1.358907960E-1	-8.140534163E-2	-6.943397224E-2	9.847652435E0	9.848233669E0
1.378921620E-1	-8.140534163E-2	-6.464541703E-2	9.845257759E0	9.845806529E0
1.398936620E-1	-7.661679387E-2	-6.703969836E-2	9.854835510E0	9.855361353E0
1.418949950E-1	-7.182824612E-2	-7.661679387E-2	9.871595383E0	9.872154012E0
1.438963610E-1	-5.267404765E-2	-6.943397224E-2	9.869200706E0	9.869585514E0
1.458976940E-1	-5.267404765E-2	-7.661679387E-2	9.869200706E0	9.869638660E0
1.478992940E-1	-5.506832153E-2	-8.140534163E-2	9.864412308E0	9.864901902E0
1.499050600E-1	-5.267404765E-2	-8.140534163E-2	9.821314812E0	9.821793422E0
1.519063930E-1	-5.267404765E-2	-7.901106775E-2	9.833286285E0	9.833744784E0
1.539077260E-1	-5.746259540E-2	-7.661679387E-2	9.850046158E0	9.850511733E0
1.559090920E-1	-5.746259540E-2	-7.661679387E-2	9.862017632E0	9.862482641E0
1.579104250E-1	-5.506832153E-2	-7.182824612E-2	9.869200706E0	9.869615717E0
1.599117580E-1	-5.985686928E-2	-6.943397224E-2	9.864412308E0	9.864838270E0
1.619134240E-1	-6.943397224E-2	-6.703969836E-2	9.850046158E0	9.850519007E0
1.639147570E-1	-7.422251999E-2	-8.858817071E-2	9.862017632E0	9.862694795E0
1.659160900E-1	-6.943397224E-2	-7.422251999E-2	9.862017632E0	9.862541347E0
1.679174560E-1	-7.182824612E-2	-7.661679387E-2	9.845257759E0	9.845817882E0
1.699185890E-1	-8.140534163E-2	-7.901106775E-2	9.835680962E0	9.836335169E0
1.719196550E-1	-6.703969836E-2	-7.901106775E-2	9.859623909E0	9.860168391E0
1.739210210E-1	-6.943397224E-2	-7.422251999E-2	9.854835510E0	9.855359607E0
1.759170540E-1	-6.703969836E-2	-8.619388938E-2	9.871595383E0	9.872199304E0
1.779196540E-1	-5.985686928E-2	-8.379961550E-2	9.862017632E0	9.862555297E0
1.799209540E-1	-5.506832153E-2	-8.379961550E-2	9.866806030E0	9.867315549E0
1.819222870E-1	-7.182824612E-2	-7.661679387E-2	9.847652435E0	9.848212422E0
1.839236200E-1	-6.703969836E-2	-8.619388938E-2	9.828497887E0	9.829104456E0
1.859247200E-1	-7.661679387E-2	-8.858817071E-2	9.835680962E0	9.836378296E0
1.879261200E-1	-8.379961550E-2	-7.901106775E-2	9.847652435E0	9.848325929E0
1.899277530E-1	-7.182824612E-2	-6.464541703E-2	9.850046158E0	9.850520171E0
1.919290860E-1	-6.464541703E-2	-6.464541703E-2	9.847652435E0	9.848076794E0
1.939306860E-1	-6.703969836E-2	-6.703969836E-2	9.840469360E0	9.840926068E0
