"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.003676098E0	-7.576911896E-2	-4.107238352E-2	2.762613297E-1	2.893928512E-1
2.013706964E0	-7.044209540E-2	6.419633329E-2	1.686506271E-1	1.937170412E-1
2.023737830E0	-1.350376755E-1	7.806031406E-2	1.280574799E-1	2.018100706E-1
2.033768730E0	-2.111595422E-1	1.187636629E-1	4.913520813E-2	2.471991678E-1
2.043799596E0	-1.071990430E-1	1.133968085E-1	-9.446811676E-2	1.824135304E-1
2.053830462E0	-3.396526352E-2	4.568003863E-2	-8.486747742E-2	1.021899886E-1
2.063861362E0	-5.418362096E-2	7.404834032E-3	-5.613708496E-2	7.837135099E-2
2.073892228E0	-2.131113112E-1	-2.205498517E-2	1.665191650E-1	2.713512220E-1
2.083923128E0	-1.470373571E-1	-1.236681193E-1	3.436822891E-1	3.937401478E-1
2.093954061E0	-1.864116266E-2	-1.884867400E-1	4.537868500E-1	4.917288372E-1
2.103984961E0	1.494750753E-2	-2.016638666E-1	4.800834656E-1	5.209336589E-1
2.114015827E0	6.854712963E-2	-1.647350341E-1	3.914461136E-1	4.301934452E-1
2.124046727E0	-1.258687489E-2	-2.434371114E-1	2.525205612E-1	3.509796154E-1
2.134077593E0	-8.836146444E-2	-1.780276000E-1	1.016330719E-1	2.232282600E-1
2.144108459E0	-7.769080997E-2	-1.184004843E-1	-1.066980362E-1	1.773104835E-1
2.154139359E0	-7.555592805E-2	-1.193150803E-1	-1.067047119E-1	1.770047519E-1
2.164170225E0	4.661591351E-2	-1.090663597E-1	8.485126495E-2	1.458363856E-1
2.174201125E0	8.510152996E-2	-2.184076309E-1	4.248857498E-1	4.852546384E-1
2.184231991E0	-1.803148165E-2	-1.855499297E-1	4.991664886E-1	5.328424665E-1
2.194262891E0	-1.386083066E-1	-1.926179379E-1	4.297637939E-1	4.909285602E-1
2.204293757E0	-1.145067513E-1	-1.069012880E-1	1.448192596E-1	2.133361185E-1
2.214324657E0	-1.745269895E-1	-4.518296570E-2	-7.550811768E-2	1.954549725E-1
2.224355557E0	-1.018597335E-1	-3.345526755E-2	-3.487396240E-2	1.127424209E-1
2.234386423E0	-8.971276693E-3	-9.105585515E-2	-6.127071381E-2	1.101169966E-1
2.244417323E0	-8.295732737E-2	-6.889387220E-2	-1.954002380E-1	2.231805028E-1
2.254448189E0	-1.776388139E-1	5.415792763E-2	-3.295278549E-1	3.782555174E-1
2.264445722E0	-2.936437726E-1	3.697381020E-1	-7.317953110E-1	8.708945438E-1
2.274443288E0	-8.650902510E-1	1.147812009E0	-1.699090004E0	2.225479812E0
2.284440888E0	-2.241543293E0	1.359461427E0	-3.277001381E0	4.196592636E0
2.294438421E0	-3.318147659E0	1.010568619E0	-4.891067505E0	5.996156616E0
2.304435987E0	-4.746195793E0	3.349818707E0	-5.413074970E0	7.940342594E0
2.314433553E0	-2.584371090E0	2.460327148E0	-6.156953335E0	7.116196876E0
2.324431119E0	2.306970596E0	-6.238614917E-1	-8.716190338E0	9.037880864E0
2.334428685E0	3.227221668E-1	-3.211450279E-1	-9.644793510E0	9.655533418E0
2.344426251E0	4.272344708E-1	-4.068925381E-1	-9.630554199E0	9.648609486E0
2.354423851E0	5.484077334E-1	-5.069839954E-1	-9.626183510E0	9.655112261E0
2.364421384E0	6.357856989E-1	-5.927284956E-1	-9.619719505E0	9.658910595E0
2.374418950E0	7.612238526E-1	-6.737185717E-1	-9.592003822E0	9.645719040E0
2.384415383E0	8.646497130E-1	-7.952237725E-1	-9.543070793E0	9.615102711E0
2.394412883E0	9.706628323E-1	-8.777182698E-1	-9.518401146E0	9.607941302E0
2.404410449E0	1.073734164E0	-9.671548605E-1	-9.479727745E0	9.589240413E0
2.414408015E0	1.180876255E0	-1.061259508E0	-9.439043045E0	9.571639049E0
2.424405648E0	1.289613008E0	-1.143154502E0	-9.429905891E0	9.586085178E0
2.434403214E0	1.395094872E0	-1.234454513E0	-9.404451370E0	9.587172327E0
2.444400780E0	1.489744782E0	-1.325428605E0	-9.326865196E0	9.537636756E0
2.454398313E0	1.604633927E0	-1.416129112E0	-9.288164139E0	9.531540525E0
2.464395879E0	1.705952764E0	-1.511231661E0	-9.257328987E0	9.533741969E0
2.474393412E0	1.800569177E0	-1.603344679E0	-9.186609268E0	9.497713060E0
2.484390978E0	1.902403235E0	-1.686990023E0	-9.138527870E0	9.485661023E0
2.494388544E0	1.997372866E0	-1.781983376E0	-9.067506790E0	9.454345165E0
2.504386110E0	2.082774639E0	-1.871480465E0	-9.019187927E0	9.443841390E0
2.514383676E0	2.177583218E0	-1.960279584E0	-8.998476028E0	9.463463190E0
2.524381209E0	2.262596607E0	-2.038551807E0	-8.948053360E0	9.452126523E0
2.534378775E0	2.347185612E0	-2.106126070E0	-8.884856224E0	9.427922223E0
2.544376308E0	2.419223309E0	-2.196543694E0	-8.804231644E0	9.391056408E0
2.554373874E0	2.490365028E0	-2.304889917E0	-8.759071350E0	9.393389507E0
2.564371440E0	2.567888498E0	-2.359283686E0	-8.718345642E0	9.389878678E0
2.574368973E0	2.641780853E0	-2.443341255E0	-8.634452820E0	9.354287683E0
2.584366539E0	2.722779751E0	-2.531640530E0	-8.623210907E0	9.390553748E0
2.594364105E0	2.788020849E0	-2.601507425E0	-8.538076401E0	9.350917055E0
2.604361671E0	2.851757526E0	-2.674274206E0	-8.470252991E0	9.328957565E0
2.614359204E0	2.885058403E0	-2.761960745E0	-8.427103996E0	9.325667317E0
