"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	-2.781153202E0	-8.337416053E-1	-1.613531113E0	3.321659352E0
9.998000000E-3	-2.848241806E0	-8.117900491E-1	-1.624328613E0	3.377858480E0
1.999550000E-2	-2.919572115E0	-7.886174321E-1	-1.635212898E0	3.437984877E0
2.999316600E-2	-2.994779110E0	-7.653220296E-1	-1.645930290E0	3.501928932E0
3.999091600E-2	-2.991769552E0	-7.566077113E-1	-1.646513939E0	3.497734757E0
4.998851600E-2	-2.991721630E0	-7.472805381E-1	-1.647466660E0	3.496136855E0
5.998618200E-2	-2.993564129E0	-7.370583415E-1	-1.648701668E0	3.496126196E0
6.998375300E-2	-2.997688293E0	-7.258946300E-1	-1.650260925E0	3.498059353E0
7.998137800E-2	-3.003406763E0	-7.137510180E-1	-1.652069092E0	3.501317607E0
8.997893300E-2	-3.010476112E0	-7.009367943E-1	-1.654064178E0	3.505739169E0
9.997683300E-2	-3.018713474E0	-6.874940991E-1	-1.656217575E0	3.511172999E0
1.099743780E-1	-3.027853727E0	-6.735933423E-1	-1.658482552E0	3.517412481E0
1.199719610E-1	-3.038128853E0	-6.593533158E-1	-1.660863876E0	3.524690417E0
1.299695760E-1	-3.049333096E0	-6.448520422E-1	-1.663330078E0	3.532836457E0
1.399671470E-1	-3.061258554E0	-6.303591728E-1	-1.665832520E0	3.541702219E0
1.499647470E-1	-3.073356628E0	-6.158003807E-1	-1.668319702E0	3.550777619E0
1.599623090E-1	-3.085886002E0	-6.012721658E-1	-1.670807838E0	3.560311709E0
1.699598970E-1	-3.098561287E0	-5.868535638E-1	-1.673262596E0	3.570054183E0
1.799574520E-1	-3.111400127E0	-5.725977421E-1	-1.675681114E0	3.580025995E0
1.899550300E-1	-3.175518990E0	-5.023277402E-1	-1.687111855E0	3.630785097E0
1.999526300E-1	-3.232500315E0	-4.408954382E-1	-1.696408272E0	3.677124977E0
2.099502010E-1	-3.283302069E0	-3.865834475E-1	-1.704052925E0	3.719316551E0
2.199477910E-1	-3.328833580E0	-3.384004235E-1	-1.710388184E0	3.757801962E0
2.299453560E-1	-3.369962454E0	-2.952867746E-1	-1.715699196E0	3.793081195E0
2.399429390E-1	-3.407258749E0	-2.565477490E-1	-1.720179558E0	3.825473388E0
2.499404990E-1	-3.441162109E0	-2.215732932E-1	-1.723982811E0	3.855231267E0
2.599380750E-1	-3.472131968E0	-1.898556650E-1	-1.727233887E0	3.882664352E0
2.699356300E-1	-3.500511885E0	-1.609676778E-1	-1.730028152E0	3.908003513E0
2.799332010E-1	-3.526564121E0	-1.345587075E-1	-1.732440948E0	3.931426228E0
2.899307870E-1	-3.550596714E0	-1.103441417E-1	-1.734535217E0	3.953166487E0
2.998951200E-1	-3.572781086E0	-8.806064725E-2	-1.736361504E0	3.973345019E0
3.098593530E-1	-3.593318701E0	-6.750130653E-2	-1.737958908E0	3.992116842E0
3.198235860E-1	-3.612389326E0	-4.846480489E-2	-1.739363670E0	4.009624853E0
3.297878190E-1	-3.630139828E0	-3.078785539E-2	-1.740602493E0	4.025985606E0
