"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	4.163863659E-1	-3.120827675E-1	8.711366653E-1	1.014717867E0
9.997000000E-3	4.710897207E-1	-2.674980164E-1	8.509044647E-1	1.008721528E0
1.999450000E-2	5.283356905E-1	-2.164897919E-1	8.291025162E-1	1.006686353E0
3.032516600E-2	5.878809690E-1	-1.599311829E-1	8.061618805E-1	1.010484535E0
4.057266600E-2	5.967888832E-1	-1.256015301E-1	7.956237793E-1	1.002471902E0
5.077006600E-2	6.076061726E-1	-8.891749382E-2	7.843828201E-1	9.961666478E-1
6.093423200E-2	6.195795536E-1	-5.070161819E-2	7.727727890E-1	9.917798449E-1
7.107451700E-2	6.326354742E-1	-1.104617119E-2	7.608528137E-1	9.895689290E-1
8.119701700E-2	6.464333534E-1	2.959203720E-2	7.488002777E-1	9.896734941E-1
9.130568300E-2	6.610038280E-1	7.079863548E-2	7.367324829E-1	9.923271934E-1
1.014031830E-1	6.755996943E-1	1.124715805E-1	7.247638702E-1	9.971797586E-1
1.114916370E-1	6.905703545E-1	1.542446613E-1	7.129526138E-1	1.004480094E0
1.215724700E-1	7.064645290E-1	1.963124275E-1	7.012023926E-1	1.014551869E0
1.316469310E-1	7.226851583E-1	2.381861210E-1	6.896924973E-1	1.026977218E0
1.417158590E-1	7.388675213E-1	2.799293995E-1	6.784420013E-1	1.041426537E0
1.517800590E-1	7.550891638E-1	3.213849068E-1	6.674766541E-1	1.057815195E0
1.618400590E-1	7.713739276E-1	3.624312878E-1	6.568155289E-1	1.076002237E0
1.718964110E-1	8.530756831E-1	5.664710999E-1	6.069526672E-1	1.190386143E0
1.819495220E-1	9.281930923E-1	7.526682615E-1	5.660104752E-1	1.322278256E0
1.919996790E-1	9.968665242E-1	9.221276045E-1	5.325040817E-1	1.458637303E0
2.020472290E-1	1.058904409E0	1.074638724E0	5.053834915E-1	1.591081208E0
2.120923710E-1	1.110881567E0	1.201911569E0	4.849338531E-1	1.706988611E0
2.221353710E-1	1.155145884E0	1.309798360E0	4.691448212E-1	1.808322598E0
2.321763710E-1	1.193323731E0	1.402544260E0	4.567012787E-1	1.897294913E0
2.422572460E-1	1.226582766E0	1.483105659E0	4.467401505E-1	1.975774390E0
2.523347660E-1	1.255827665E0	1.553738832E0	4.386510849E-1	2.045390491E0
2.624092270E-1	1.281743765E0	1.616188407E0	4.320011139E-1	2.107500180E0
2.724808190E-1	1.304860711E0	1.671792746E0	4.264774323E-1	2.163200282E0
2.825497830E-1	1.325599670E0	1.721609235E0	4.218444824E-1	2.213392331E0
2.926162650E-1	1.344310641E0	1.766493201E0	4.179258347E-1	2.258834065E0
3.026804650E-1	1.361300826E0	1.807112217E0	4.145879745E-1	2.300147320E0
3.127446980E-1	1.376750231E0	1.844066858E0	4.117250443E-1	2.337849715E0
3.228088980E-1	1.390880108E0	1.877832294E0	4.092531204E-1	2.372401676E0
3.328397980E-1	1.403843999E0	1.908769608E0	4.071083069E-1	2.404145703E0
3.428706640E-1	1.415770769E0	1.937226772E0	4.052371979E-1	2.433407410E0
3.529015640E-1	1.426793575E0	1.963476896E0	4.035968781E-1	2.460461719E0
3.629324300E-1	-2.318015993E-1	-5.501596928E-1	1.076574326E-1	6.066282154E-1
3.729633300E-1	-2.223225534E-1	-5.276058912E-1	1.063804626E-1	5.823333213E-1
3.829941960E-1	-2.134920359E-1	-5.066105127E-1	1.052474976E-1	5.597410979E-1
3.930250620E-1	-2.244245857E-1	-4.774779379E-1	1.209983826E-1	5.412875248E-1
4.030559620E-1	-1.830888391E-1	-4.472811818E-1	1.248865128E-1	4.991779439E-1
4.130868280E-1	-1.902906001E-1	-4.136525989E-1	1.121177673E-1	4.689236385E-1
4.231177280E-1	-1.931834668E-1	-4.124780595E-1	1.042299271E-1	4.672492687E-1
4.331485940E-1	-1.796656251E-1	-3.955892622E-1	1.203575134E-1	4.508398078E-1
4.431794940E-1	-1.713054478E-1	-3.868044913E-1	1.341533661E-1	4.438022043E-1
4.532103600E-1	-1.657091379E-1	-3.740634620E-1	1.336383820E-1	4.303977337E-1
4.632412600E-1	-1.794492453E-1	-3.667781055E-1	1.020421982E-1	4.208810052E-1
4.732721260E-1	-1.480535716E-1	-3.553414643E-1	1.040077209E-1	3.987543383E-1
4.833029920E-1	-1.575970352E-1	-3.421385884E-1	1.107988358E-1	3.926474515E-1
4.933338920E-1	-1.553429216E-1	-3.317867219E-1	1.152267456E-1	3.840456419E-1
5.033647920E-1	-1.532887071E-1	-3.315648437E-1	1.292619705E-1	3.874807483E-1
5.133956920E-1	-1.394476146E-1	-3.078082502E-1	1.241674423E-1	3.600126523E-1
5.234265580E-1	-1.401982903E-1	-3.037002981E-1	1.119155884E-1	3.527244400E-1
5.334574580E-1	-1.291550249E-1	-2.976474762E-1	1.236314774E-1	3.472171982E-1
5.434549910E-1	-1.255204380E-1	-2.895578444E-1	1.233940125E-1	3.388586843E-1
5.534525570E-1	-1.220459267E-1	-2.722854316E-1	1.183872223E-1	3.210141724E-1
5.634501230E-1	-1.187484711E-1	-2.649781406E-1	1.181869507E-1	3.135008289E-1
5.734476890E-1	-1.251937300E-1	-2.628507614E-1	1.443405151E-1	3.249587314E-1
5.834452550E-1	-1.269478202E-1	-2.466545105E-1	1.058616638E-1	2.969189931E-1
5.934428210E-1	-1.192193478E-1	-2.571047843E-1	1.033086777E-1	3.016435079E-1
6.034403870E-1	-1.163643599E-1	-2.509960532E-1	1.031608582E-1	2.952657204E-1
