"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	1.314192079E-2	1.763794720E-1	-1.559257507E-3	1.768752654E-1
9.996000000E-3	1.864609495E-2	1.828746796E-1	-1.630783081E-3	1.838300431E-1
1.999300000E-2	2.388512716E-2	1.901821047E-1	-1.703262329E-3	1.916836805E-1
2.999000000E-2	2.891462110E-2	1.979961693E-1	-1.770973206E-3	2.001041597E-1
3.998725000E-2	4.415821284E-3	1.890571713E-1	-1.664161682E-3	1.891160568E-1
4.998465000E-2	-2.067861333E-2	1.798764467E-1	-1.482009888E-3	1.810672182E-1
5.998198300E-2	-4.101474211E-2	1.707944274E-1	-1.263618469E-3	1.756546106E-1
6.997941100E-2	-5.866435543E-2	1.614072621E-1	-1.015663147E-3	1.717406254E-1
7.997678600E-2	-7.752554119E-2	1.541813463E-1	-7.410049438E-4	1.725764937E-1
8.997423000E-2	-9.385423362E-2	1.537066102E-1	-5.445480347E-4	1.800961846E-1
9.997163000E-2	-1.085917205E-1	1.572301090E-1	-3.929138184E-4	1.910853822E-1
1.099690840E-1	-1.203929037E-1	1.570791602E-1	-2.193450928E-4	1.979099844E-1
1.199669170E-1	-1.218857467E-1	1.533336043E-1	-1.497268677E-4	1.958758584E-1
1.299643780E-1	-1.180634350E-1	1.476591974E-1	-1.344680786E-4	1.890561592E-1
1.399618780E-1	-1.150417477E-1	1.397994608E-1	-7.057189941E-5	1.810483304E-1
1.499593440E-1	-1.128000319E-1	1.274696589E-1	7.724761963E-5	1.702127113E-1
1.599568440E-1	-1.097081602E-1	1.133990139E-1	2.593994141E-4	1.577823946E-1
1.699543140E-1	-1.037424952E-1	1.014646590E-1	3.843307495E-4	1.451128183E-1
1.799518140E-1	-9.783218801E-2	9.297615290E-2	4.625320435E-4	1.349663512E-1
1.899492870E-1	-9.189625084E-2	8.626678586E-2	5.159378052E-4	1.260442202E-1
1.999467870E-1	-8.322121203E-2	8.244858682E-2	4.892349243E-4	1.171485337E-1
2.099443100E-1	-7.119686902E-2	8.275561035E-2	3.519058228E-4	1.091678022E-1
2.199419910E-1	-6.054889783E-2	8.513428271E-2	2.021789551E-4	1.044703594E-1
2.299395120E-1	-4.959313199E-2	8.857750893E-2	4.196166992E-5	1.015157899E-1
2.399370120E-1	-4.176268354E-2	9.477767348E-2	-1.344680786E-4	1.035709767E-1
2.499345320E-1	-3.471425548E-2	1.051425487E-1	-3.709793091E-4	1.107256642E-1
2.599320320E-1	-2.840463445E-2	1.182630509E-1	-6.313323975E-4	1.216280027E-1
2.699295500E-1	-2.357356995E-2	1.306660771E-1	-8.535385132E-4	1.327782567E-1
2.799270500E-1	-1.718451455E-2	1.409046650E-1	-1.032829285E-3	1.419524529E-1
2.899245670E-1	-8.159007877E-3	1.494331360E-1	-1.187324524E-3	1.496604199E-1
2.999221000E-1	7.836204022E-4	1.576786935E-1	-1.320838928E-3	1.576861727E-1
3.099196660E-1	3.982175142E-3	1.650629342E-1	-1.417160034E-3	1.651170442E-1
3.199172320E-1	3.242110834E-3	1.690142751E-1	-1.459121704E-3	1.690516652E-1
3.299147980E-1	-3.009736538E-4	1.704837382E-1	-1.466751099E-3	1.704903133E-1
3.399123640E-1	-4.479449242E-3	1.726532578E-1	-1.476287842E-3	1.727176665E-1
3.499098970E-1	-8.278060704E-3	1.775975227E-1	-1.514434814E-3	1.777967938E-1
3.599074630E-1	-1.027380675E-2	1.846577972E-1	-1.575469971E-3	1.849500886E-1
3.699050290E-1	-6.215874106E-2	-2.197023183E-1	-6.791849136E-1	7.165367853E-1
3.799025950E-1	-6.347170472E-2	-2.200210989E-1	-6.791763306E-1	7.167415359E-1
3.899001610E-1	-6.234920770E-2	-2.237498313E-1	-6.791467667E-1	7.177685848E-1
3.998977270E-1	2.200754285E-1	-3.229466975E-1	9.899234772E-2	4.031466837E-1
4.098952930E-1	1.740319729E-1	-3.563950360E-1	7.265663147E-2	4.032164870E-1
4.198927930E-1	6.698161364E-2	-2.798475027E-1	8.224201202E-2	2.992739713E-1
4.298903590E-1	1.120672077E-1	-2.151790261E-1	2.239704132E-2	2.436446178E-1
4.398878920E-1	3.428519368E-1	-3.139120936E-1	4.874897003E-2	4.674020916E-1
4.498854580E-1	2.814315856E-1	-4.879426360E-1	-1.829147339E-2	5.635834733E-1
4.598830240E-1	-9.338024259E-2	-4.571632147E-1	1.133737564E-1	4.801788034E-1
4.698805900E-1	-1.233036965E-1	-3.072338700E-1	2.067155838E-1	3.902919229E-1
4.798781560E-1	1.016216427E-1	-2.849149704E-1	4.866886139E-2	3.063856340E-1
4.898757220E-1	9.381326288E-2	-2.758918405E-1	4.868984222E-2	2.954453192E-1
4.998732880E-1	4.661577195E-2	-3.586520255E-1	-3.985881805E-2	3.638585315E-1
5.098708210E-1	7.479540259E-2	-3.860783279E-1	-6.614971161E-2	3.987814086E-1
5.198682540E-1	6.982249767E-2	-3.744064271E-1	-6.611728668E-2	3.865576923E-1
5.298657870E-1	6.897322834E-3	-7.751392573E-2	2.690801620E-1	2.801073283E-1
5.398633530E-1	9.244427085E-3	-6.675862521E-2	2.690591812E-1	2.773716216E-1
5.498609190E-1	5.853877962E-2	-2.043179125E-1	3.337001801E-1	3.956367125E-1
5.598584850E-1	5.799289793E-2	-1.996805519E-1	3.337163925E-1	3.931947732E-1
5.698560510E-1	8.476783335E-2	4.717367142E-2	-3.737354279E-2	1.039601969E-1
5.798536170E-1	7.946647704E-2	4.554061592E-2	-3.731632233E-2	9.890084217E-2
5.898511830E-1	2.983456254E-1	-3.048603833E-1	-1.306447983E-1	4.461143674E-1
5.998487160E-1	2.154455185E-1	-4.337846041E-1	-2.290058136E-2	4.848817287E-1
6.098462820E-1	9.783919901E-2	-3.731759787E-1	-5.405235291E-2	3.895567696E-1
6.198440820E-1	2.402956039E-1	-2.732861638E-1	-1.043872833E-1	3.785815757E-1
6.298416480E-1	3.324104846E-1	-3.125221133E-1	-4.220104218E-2	4.582005342E-1
6.398392140E-1	3.453768790E-1	-3.028377891E-1	-4.225921631E-2	4.612827293E-1
6.498367800E-1	2.883656323E-2	-2.259858549E-1	2.402133942E-1	3.310643876E-1
6.598343460E-1	-2.263236642E-1	-1.517861485E-1	3.096265793E-1	4.124682466E-1
6.698318790E-1	-2.182293236E-1	-1.455505490E-1	3.096408844E-1	4.058158170E-1
6.798294450E-1	8.876365423E-2	-4.281597733E-1	2.283210754E-1	4.932852028E-1
6.898269780E-1	2.088481784E-1	-4.706277251E-1	8.961677551E-2	5.226271938E-1
6.998245440E-1	1.997976750E-1	-4.564907849E-1	8.983421326E-2	5.063330263E-1
7.098220770E-1	4.120586812E-1	-3.046860397E-1	-2.724647522E-2	5.131942225E-1
7.198195770E-1	5.814771056E-1	-2.920579910E-1	-1.251525879E-1	6.626286024E-1
7.298171430E-1	4.105213583E-1	-1.226919442E-1	4.273414612E-2	4.305894866E-1
7.398147090E-1	5.821952224E-2	-7.120786607E-2	8.617115021E-2	1.260378518E-1
7.498122750E-1	-5.829842091E-1	1.030006632E-1	3.929405212E-1	7.105504752E-1
7.598098410E-1	-5.842185616E-1	1.125219390E-1	3.931446075E-1	7.131165381E-1
7.698074070E-1	-3.277252614E-2	1.470164657E-1	-8.312511444E-2	1.720397172E-1
7.798049400E-1	-4.682543874E-2	1.499430239E-1	-8.289337158E-2	1.776143102E-1
7.898025060E-1	8.190338314E-2	8.019107580E-2	3.564834595E-3	1.146799061E-1
7.998000390E-1	-8.413916081E-2	8.643105626E-3	1.340484619E-2	8.563755927E-2
8.097976050E-1	-9.182756394E-2	1.203541458E-2	1.360034943E-2	9.360620817E-2
8.197949380E-1	-1.009843275E-1	-1.938559115E-2	-7.008075714E-2	1.244385313E-1
8.297925040E-1	-1.026029065E-1	-1.686267555E-2	-6.999588013E-2	1.253440445E-1
8.397900700E-1	-1.140591800E-1	-2.922707796E-1	-1.129922867E-1	3.334650836E-1
8.497876030E-1	-1.108192056E-1	-2.844246626E-1	-1.128578186E-1	3.254461127E-1
8.597851690E-1	1.307249516E-1	-2.940778136E-1	3.471040726E-1	4.733413257E-1
8.698160690E-1	3.840747774E-1	-3.812314272E-1	4.024534225E-1	6.744031383E-1
8.798469690E-1	1.087533832E-1	-2.738636136E-1	1.585187912E-1	3.345994387E-1
8.898778350E-1	-2.561646700E-2	-2.452070117E-1	2.736139297E-1	3.683032236E-1
8.999087350E-1	-1.848043352E-1	-2.212006152E-1	9.641933441E-2	3.039392086E-1
9.099396010E-1	-2.825332284E-1	-1.182748675E-1	1.705665588E-1	3.505808330E-1
9.199419340E-1	-1.435075849E-1	-9.345918894E-2	2.926321030E-1	3.390613434E-1
9.299395000E-1	9.041401744E-2	-2.663825154E-1	1.561584473E-1	3.217449296E-1
9.399370330E-1	2.190116346E-1	-3.822723627E-1	-4.972839355E-2	4.433634722E-1
9.499345990E-1	2.204138935E-1	-3.810182810E-1	-4.970932007E-2	4.429765585E-1
9.599321320E-1	3.176600337E-1	-2.245438099E-1	1.495456696E-2	3.892961066E-1
9.699296980E-1	3.253670931E-1	-2.191442549E-1	1.502704620E-2	3.925732567E-1
9.799272640E-1	2.326638848E-1	-2.409011722E-1	3.909835815E-1	5.148145482E-1
9.899248300E-1	-5.915099382E-2	-2.330906689E-1	6.051731110E-2	2.479767024E-1
9.999223960E-1	-5.022844672E-2	-2.354970872E-1	6.036090851E-2	2.482442632E-1
1.009919962E0	-1.386493891E-1	-1.420259178E-1	1.703472137E-1	2.615591475E-1
1.019917495E0	2.146072686E-3	-9.832665324E-2	-1.099042892E-1	1.474845387E-1
1.029915028E0	7.331058383E-2	-2.788984776E-2	-1.363258362E-1	1.572800652E-1
1.039912594E0	1.548271775E-1	8.102449775E-2	2.778759003E-1	3.282551448E-1
1.049910127E0	1.323903948E-1	2.360045910E-4	2.637300491E-1	2.950945800E-1
1.059907660E0	-5.892679095E-3	-1.565976441E-1	1.872968674E-1	2.442082356E-1
1.069905226E0	-5.370099097E-3	-1.539939940E-1	1.873769760E-1	2.425966185E-1
1.079902792E0	-1.770568788E-1	4.312324524E-2	2.376775742E-1	2.994985507E-1
1.089900358E0	-1.800327897E-1	4.277414083E-2	2.376823425E-1	3.012213944E-1
1.099897924E0	-1.492058039E-1	-2.248975635E-2	1.299476624E-1	1.991345174E-1
1.109895490E0	-8.801013231E-2	2.085396200E-1	3.622798920E-1	4.271782727E-1
1.119893256E0	-2.483118773E-1	1.199689507E-1	6.163129807E-1	6.751985098E-1
1.129890856E0	-2.668649554E-1	1.278613508E-1	6.167345047E-1	6.840518100E-1
1.139888389E0	1.396306753E-1	-4.233416617E-1	3.683614731E-1	5.782776693E-1
1.149885955E0	9.878428280E-2	-4.129500985E-1	3.693237305E-1	5.627487328E-1
1.159883521E0	2.694519758E-1	-5.431068540E-1	7.298059464E-1	9.487813981E-1
1.169847721E0	2.187410891E-1	-5.274984837E-1	7.316074371E-1	9.280903816E-1
1.179811954E0	1.996013224E-1	-4.340552986E-1	8.584442139E-1	9.824312487E-1
1.189776187E0	3.438953757E-1	-1.522923708E-1	1.522408485E0	1.568178750E0
1.199740420E0	2.720544636E-1	-1.251279116E-1	1.526677132E0	1.555767878E0
1.209704653E0	7.732123137E-1	-3.253738582E-1	2.124125481E0	2.283776365E0
1.219697219E0	2.364450932E0	-2.057133317E-1	4.183799744E0	4.810106701E0
1.229728085E0	2.850047588E0	9.337654710E-2	7.039555550E0	7.595184841E0
1.239758985E0	2.096452475E0	-2.052268982E-1	6.473961830E0	6.808040308E0
1.249789851E0	2.059915781E0	-1.389485002E-1	6.481632233E0	6.802508075E0
1.259820751E0	1.412807703E0	6.923171878E-1	4.869510651E0	5.117368725E0
1.269851651E0	1.426013827E0	7.171589136E-1	4.870440483E0	5.125331486E0
1.279882517E0	-2.693838179E-1	5.772009492E-1	4.637024879E0	4.680569229E0
1.289913417E0	-6.341149807E-1	-3.482280970E-1	3.892282486E0	3.958942733E0
1.299944283E0	-1.518556356E0	-4.792681336E-1	3.705230713E0	4.032920280E0
1.309975183E0	-1.917072058E0	-3.652255535E-1	3.849059105E0	4.315531366E0
1.320011716E0	-1.378449917E0	-9.002344608E-1	4.266425133E0	4.573065675E0
1.330042649E0	-5.709660053E-1	-8.282624483E-1	4.770372391E0	4.875292156E0
1.340073515E0	-5.632332563E-1	-8.279498816E-1	4.769942284E0	4.873918557E0
1.350104415E0	-5.153687596E-1	-2.397214770E-1	4.756273270E0	4.790115527E0
1.360135315E0	-5.395403504E-1	7.677775621E-2	4.645557404E0	4.677414051E0
1.370166181E0	-7.902359962E-2	-5.050969124E-2	4.612222672E0	4.613176122E0
1.380197081E0	7.404822111E-1	-1.851645708E-1	4.040451050E0	4.111914944E0
1.390227947E0	5.467315912E-1	-3.441718221E-1	3.576622009E0	3.634500609E0
1.400258847E0	6.002562046E-1	-4.589588046E-1	3.422011375E0	3.504441831E0
1.410289747E0	5.984157324E-1	-4.126331806E-1	3.426757812E0	3.503003945E0
1.420320647E0	9.891362786E-1	-7.238974571E-1	5.112721443E0	5.257598184E0
1.430351480E0	4.983038306E-1	-6.058640480E-1	4.362366676E0	4.432338093E0
1.440382380E0	5.158851743E-1	-5.745593309E-1	4.364830017E0	4.432606120E0
1.450413280E0	-5.200314522E-2	2.548112273E-1	4.426179886E0	4.433813423E0
1.460444146E0	-4.128855467E-2	2.741040587E-1	4.427826881E0	4.436495089E0
1.470475046E0	-6.662982702E-2	2.945451736E-1	2.856908798E0	2.872825138E0
1.480505912E0	2.289133072E-1	1.738464832E-1	2.428391457E0	2.445344346E0
1.490536812E0	1.181339025E-1	-9.452283382E-2	2.311823845E0	2.316769232E0
1.500567678E0	3.308567405E-1	-3.522154093E-1	2.015938759E0	2.073048711E0
1.510598578E0	5.474663377E-1	-4.603148699E-1	2.981138229E0	3.065745311E0
1.520634678E0	1.047594547E0	-6.197532415E-1	4.114589691E0	4.290850352E0
1.530632244E0	1.069860458E0	-5.686528683E-1	4.120630264E0	4.295062428E0
1.540629810E0	2.129586935E-1	7.502138615E-2	2.939713478E0	2.948371575E0
1.550627376E0	2.312020063E-1	1.007368565E-1	2.942611694E0	2.953399036E0
1.560624942E0	-5.560230017E-1	4.977978468E-1	2.648065567E0	2.751220733E0
1.570622475E0	-7.400183678E-1	-2.441637516E-1	2.193285942E0	2.327605281E0
1.580620041E0	-4.242696166E-1	-7.425861359E-1	2.049603462E0	2.220881183E0
1.590617574E0	-4.246488214E-1	-7.305591106E-1	2.051557541E0	2.218768032E0
1.600615140E0	3.722333908E-1	-1.079445124E0	1.003175735E0	1.519908230E0
1.610612706E0	6.488749385E-1	-1.109924793E0	1.732205391E0	2.157198936E0
1.620604639E0	1.028221607E0	-1.002185822E0	2.631049156E0	2.997338112E0
1.630602172E0	6.441459060E-1	-1.556382179E-1	2.108843803E0	2.210513377E0
1.640599738E0	3.970659971E-1	7.911359072E-1	2.352562904E0	2.513585019E0
1.650597304E0	-3.319419622E-1	3.290586472E-1	1.891348839E0	1.948246773E0
1.660594837E0	-3.525719643E-1	-6.981539726E-1	9.792041779E-1	1.253222559E0
1.670592403E0	-2.272288501E-1	-1.578626513E0	2.748460770E-1	1.618405075E0
1.680589936E0	-4.106976986E-1	-1.703437209E0	2.366447449E-2	1.752407182E0
1.690587502E0	-3.001752794E-1	-1.564643741E0	-1.783304214E-1	1.603127248E0
1.700585068E0	-1.485509127E-1	-1.451682806E0	-7.741155624E-1	1.651879308E0
1.710582601E0	-1.995477676E-1	-1.102551937E0	-1.643546104E0	1.989141494E0
1.720580167E0	4.588723183E-2	-3.245599270E-1	-1.335385323E0	1.375026816E0
1.730577767E0	2.992364764E-2	1.637408733E-1	-8.598203659E-1	8.757839687E-1
1.740575333E0	-3.399095535E-1	1.595712900E-1	1.067543030E-2	3.756533854E-1
1.750572866E0	-3.411686718E-1	2.023608685E-1	1.783275604E-2	3.970692520E-1
1.760570432E0	4.411175847E-2	-1.168860197E-1	-1.237773895E-2	1.255444035E-1
1.770567965E0	9.966623783E-1	-7.949908972E-1	-6.575117111E-1	1.434457414E0
1.780565531E0	6.169421077E-1	-6.256581545E-1	-7.106838226E-1	1.130104945E0
1.790563097E0	-3.748844564E-2	-7.013273239E-1	-1.424816132E0	1.588510752E0
1.800560663E0	-1.248477340E0	1.778038740E-1	-1.800242424E0	2.197995148E0
1.810558229E0	-9.361470938E-1	6.271038055E-1	-8.323602676E-1	1.400876218E0
1.820552962E0	-9.114784002E-1	6.385383606E-1	-8.308134079E-1	1.388803453E0
