"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	4.341228306E-1	1.177204847E-1	-1.898117065E-1	4.882102299E-1
9.998000000E-3	4.328836501E-1	1.276451349E-1	-1.904754639E-1	4.898596098E-1
1.999550000E-2	4.326109886E-1	1.419872642E-1	-1.914653778E-1	4.939348556E-1
2.999316600E-2	4.335682094E-1	1.610839963E-1	-1.927957535E-1	5.010984421E-1
4.024091600E-2	4.178468287E-1	1.788632870E-1	-1.934432983E-1	4.939720208E-1
5.043851600E-2	4.098080397E-1	2.027603984E-1	-1.946916580E-1	4.969499474E-1
6.060268200E-2	4.060489833E-1	2.363079786E-1	-1.966056824E-1	5.092848240E-1
7.074311000E-2	4.043755829E-1	2.745128870E-1	-1.987371445E-1	5.276110213E-1
8.086561000E-2	4.056010842E-1	3.136797547E-1	-2.008705139E-1	5.506870177E-1
9.097427600E-2	4.076227248E-1	3.519614041E-1	-2.028341293E-1	5.754778881E-1
1.010718760E-1	4.097032547E-1	3.891262114E-1	-2.046003342E-1	6.009469711E-1
1.111603300E-1	4.125997722E-1	4.259689748E-1	-2.062406540E-1	6.278720785E-1
1.212412460E-1	4.158599675E-1	4.629603922E-1	-2.077579498E-1	6.560756077E-1
1.313157070E-1	4.196785688E-1	4.991216958E-1	-2.091283798E-1	6.848264361E-1
1.413847070E-1	4.260846078E-1	5.345671177E-1	-2.104282379E-1	7.152552968E-1
1.514489070E-1	4.279248714E-1	5.663086176E-1	-2.113513947E-1	7.406041844E-1
1.615089690E-1	4.277915061E-1	5.915772915E-1	-2.119607925E-1	7.601951342E-1
1.715653800E-1	4.278109670E-1	6.134739518E-1	-2.124385834E-1	7.774976944E-1
1.816184910E-1	4.283500910E-1	6.352922320E-1	-2.128849030E-1	7.952358156E-1
1.917213330E-1	4.318926334E-1	6.587020755E-1	-2.134065628E-1	8.160649681E-1
2.018689330E-1	4.353159368E-1	6.830289960E-1	-2.138795853E-1	8.377189572E-1
2.120093130E-1	4.326801002E-1	7.034792900E-1	-2.140502930E-1	8.531780052E-1
2.221432220E-1	4.286827743E-1	7.204491496E-1	-2.140989304E-1	8.652480859E-1
2.322711780E-1	4.264586568E-1	7.353842258E-1	-2.141609192E-1	8.766537771E-1
2.423937190E-1	4.252598584E-1	7.495044470E-1	-2.142267227E-1	8.879729455E-1
2.525112390E-1	4.267213941E-1	7.631949782E-1	-2.143592834E-1	9.002819699E-1
2.626241620E-1	4.334641099E-1	7.788050771E-1	-2.146549225E-1	9.167907168E-1
2.727328280E-1	4.425639808E-1	7.970777154E-1	-2.150020599E-1	9.367078772E-1
2.828366850E-1	4.478827715E-1	8.122166991E-1	-2.151870728E-1	9.521556698E-1
2.929376850E-1	4.566646218E-1	8.263018131E-1	-2.154541016E-1	9.683685936E-1
3.030352180E-1	4.655883908E-1	8.417955637E-1	-2.156934738E-1	9.858579996E-1
3.131327510E-1	4.707034230E-1	8.571195006E-1	-2.157907486E-1	1.001389633E0
3.232302840E-1	4.730651081E-1	8.691209555E-1	-2.158021927E-1	1.012784487E0
3.333278170E-1	4.748301208E-1	8.774116039E-1	-2.158041000E-1	1.020728258E0
3.433920170E-1	4.772873819E-1	8.842338324E-1	-2.158288956E-1	1.027742588E0
3.534562500E-1	4.786584675E-1	8.900296688E-1	-2.158260345E-1	1.033367126E0
3.635204830E-1	4.780386686E-1	8.960857987E-1	-2.157611847E-1	1.038288792E0
3.735846830E-1	4.767921865E-1	9.024829268E-1	-2.156724930E-1	1.043226172E0
3.836489160E-1	-2.090233862E-1	-2.598021626E-1	-4.453458786E-1	5.563460176E-1
3.937131160E-1	-2.178665102E-1	-2.489500344E-1	-4.449777603E-1	5.544791638E-1
4.037773160E-1	-2.328261435E-1	-2.364812493E-1	-4.443826675E-1	5.546236107E-1
4.138415160E-1	2.656246424E-1	-1.136844993E0	7.439594269E-1	1.384358558E0
4.239057160E-1	3.005694747E-1	-9.509584308E-1	8.911647797E-1	1.337474714E0
4.339699490E-1	8.961206675E-2	-9.277827740E-1	1.103458405E0	1.444448562E0
4.440341490E-1	3.152613342E-1	-9.112191200E-1	1.371318817E0	1.676372659E0
4.540983820E-1	-2.312138379E-1	-1.160419464E0	1.381162643E0	1.818692778E0
4.641625820E-1	-2.771004140E-1	-1.123436093E0	1.384399414E0	1.804287957E0
4.742267820E-1	4.189389944E-2	-5.939940214E-1	1.986035347E0	2.073383803E0
4.842909820E-1	-2.777993679E-3	-5.711567998E-1	1.989377022E0	2.069746057E0
4.943208150E-1	7.420736551E-1	-2.577988505E-1	2.557384491E0	2.675322222E0
5.043183150E-1	6.565267444E-1	-2.705530524E-1	2.678582191E0	2.771106075E0
5.143158810E-1	2.081446052E-1	-2.338265777E-1	2.628356934E0	2.646933927E0
5.243467470E-1	-3.293492496E-1	-9.124043584E-2	2.481701851E0	2.505122716E0
5.343776470E-1	-5.401109457E-1	-1.910417378E-1	2.430494308E0	2.497102193E0
5.444085130E-1	-5.081608295E-1	-1.743867099E-1	2.429450035E0	2.488145017E0
5.544394130E-1	-3.593510985E-1	-6.827956438E-1	1.990758896E0	2.135055991E0
5.644703130E-1	-3.453630805E-1	-6.693956852E-1	1.990684509E0	2.128424548E0
5.745011790E-1	-1.531565189E-1	-6.874728203E-1	2.654273987E0	2.746132953E0
5.845328450E-1	1.500165462E-2	-6.049616933E-1	2.844073296E0	2.907740809E0
5.945637110E-1	4.245492816E-2	-4.409742355E-1	2.609948158E0	2.647279752E0
6.045946110E-1	4.317715764E-2	-4.352189302E-1	2.610221863E0	2.646608765E0
6.146254770E-1	-7.779401541E-2	-6.067563891E-1	2.459501266E0	2.534433212E0
6.246563770E-1	-5.704298615E-2	-8.465448618E-1	2.117271423E0	2.280949448E0
6.346872430E-1	2.477146089E-1	-1.068015933E0	1.959640503E0	2.245486910E0
