"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
0.000000000E0	9.599999785E-1	2.165999985E1	-3.995999908E1	4.546293787E1
9.998000000E-3	9.599999785E-1	2.147999954E1	-3.959999847E1	4.506075742E1
1.999550000E-2	1.019999981E0	2.135999870E1	-3.965999985E1	4.505780213E1
2.999316600E-2	9.599999785E-1	2.153999901E1	-3.995999908E1	4.540588821E1
3.999091600E-2	7.199999690E-1	2.177999878E1	-4.007999802E1	4.562119012E1
4.998851600E-2	1.799999923E-1	2.213999939E1	-4.050000000E1	4.615692768E1
5.998651600E-2	-4.199999869E-1	2.285999870E1	-4.109999847E1	4.703154064E1
6.998423000E-2	-6.599999666E-1	2.315999985E1	-4.134000015E1	4.739004965E1
7.998173000E-2	-8.999999762E-1	2.303999901E1	-4.163999939E1	4.759770061E1
8.997928500E-2	-1.019999981E0	2.303999901E1	-4.205999756E1	4.796796169E1
9.997688500E-2	-1.079999924E0	2.285999870E1	-4.205999756E1	4.788307984E1
1.099744300E-1	-1.439999938E0	2.285999870E1	-4.241999817E1	4.820901767E1
1.199720960E-1	-1.259999990E0	2.279999924E1	-4.193999863E1	4.775344019E1
1.299696340E-1	-1.019999981E0	2.292000008E1	-4.187999725E1	4.775249704E1
1.399672050E-1	-7.799999714E-1	2.237999916E1	-4.097999954E1	4.669939105E1
1.499647380E-1	-5.999999866E-2	2.202000046E1	-4.013999939E1	4.578322369E1
1.599623000E-1	4.199999869E-1	2.177999878E1	-3.965999985E1	4.524887109E1
1.699598290E-1	9.599999785E-1	2.147999954E1	-3.929999924E1	4.479734278E1
1.799573840E-1	8.999999762E-1	2.165999985E1	-3.977999878E1	4.530357487E1
1.899549620E-1	6.599999666E-1	2.177999878E1	-3.995999908E1	4.551489288E1
1.999525620E-1	3.599999845E-1	2.165999985E1	-4.020000076E1	4.566536165E1
2.099501330E-1	-1.199999973E-1	2.153999901E1	-4.013999939E1	4.555442359E1
2.199476780E-1	1.799999923E-1	2.142000008E1	-4.013999939E1	4.549800385E1
2.299452430E-1	2.399999946E-1	2.105999947E1	-4.031999969E1	4.548937846E1
2.399427840E-1	0.000000000E0	2.118000031E1	-4.050000000E1	4.570385556E1
2.499403440E-1	1.199999973E-1	2.118000031E1	-4.031999969E1	4.554458462E1
2.599376900E-1	0.000000000E0	2.105999947E1	-4.007999802E1	4.527615066E1
2.699352450E-1	2.999999821E-1	2.118000031E1	-3.959999847E1	4.490926733E1
2.799328160E-1	8.999999762E-1	2.100000000E1	-3.893999863E1	4.425080217E1
2.899303670E-1	1.199999928E0	2.105999947E1	-3.870000076E1	4.407554465E1
2.999279330E-1	1.139999986E0	2.135999870E1	-3.857999802E1	4.411309773E1
3.099254660E-1	9.599999785E-1	2.135999870E1	-3.870000076E1	4.421381236E1
3.199230320E-1	8.999999762E-1	2.147999954E1	-3.911999893E1	4.463826494E1
3.299205650E-1	6.599999666E-1	2.123999977E1	-3.936000061E1	4.473011109E1
3.399180980E-1	6.599999666E-1	2.135999870E1	-3.941999817E1	4.483995317E1
3.499156640E-1	8.399999738E-1	2.105999947E1	-3.954000092E1	4.480670541E1
3.599148300E-1	5.399999619E-1	2.100000000E1	-3.954000092E1	4.477391286E1
3.699123630E-1	4.199999869E-1	2.135999870E1	-3.984000015E1	4.520676450E1
3.799099290E-1	5.999999642E-1	2.100000000E1	-3.984000015E1	4.503982251E1
3.899074950E-1	4.799999893E-1	2.160000038E1	-4.002000046E1	4.547956523E1
3.999050610E-1	6.599999666E-1	2.142000008E1	-4.037999725E1	4.571428859E1
4.099026270E-1	7.199999690E-1	2.135999870E1	-4.020000076E1	4.552810128E1
4.199001270E-1	5.399999619E-1	2.202000046E1	-4.050000000E1	4.610229951E1
4.299310600E-1	5.999999866E-2	2.226000023E1	-4.104000092E1	4.668825211E1
4.399619260E-1	0.000000000E0	2.231999969E1	-4.061999893E1	4.634831927E1
4.499928590E-1	-2.399999946E-1	2.237999916E1	-4.104000092E1	4.674616174E1
4.600237250E-1	-2.399999946E-1	2.207999992E1	-4.115999985E1	4.670898826E1
4.700546250E-1	-1.799999923E-1	2.195999908E1	-4.086000061E1	4.638764501E1
4.800855250E-1	-1.799999923E-1	2.243999863E1	-4.175999832E1	4.740763017E1
4.901164250E-1	-5.999999866E-2	2.243999863E1	-4.152000046E1	4.719605467E1
5.001472910E-1	-2.399999946E-1	2.268000031E1	-4.175999832E1	4.752196833E1
5.101781570E-1	-2.399999946E-1	2.303999901E1	-4.187999725E1	4.779993017E1
5.202090570E-1	-4.199999869E-1	2.334000015E1	-4.175999832E1	4.784171263E1
5.302399230E-1	-7.799999714E-1	2.363999939E1	-4.205999756E1	4.825454762E1
5.402708230E-1	-7.799999714E-1	2.363999939E1	-4.163999939E1	4.788890811E1
5.503017230E-1	-1.079999924E0	2.357999992E1	-4.211999893E1	4.828330049E1
5.603328230E-1	-8.399999738E-1	2.310000038E1	-4.205999756E1	4.799332258E1
5.703637230E-1	-1.079999924E0	2.285999870E1	-4.229999924E1	4.809403160E1
5.803945890E-1	-1.259999990E0	2.315999985E1	-4.295999908E1	4.882145752E1
5.904254890E-1	-1.019999981E0	2.310000038E1	-4.284000015E1	4.868178336E1
6.004563890E-1	-1.319999933E0	2.334000015E1	-4.259999847E1	4.859277597E1
6.104873220E-1	-8.999999762E-1	2.376000023E1	-4.236000061E1	4.857692109E1
6.205181880E-1	-2.399999946E-1	2.369999886E1	-4.218000031E1	4.838284791E1
6.305490880E-1	-4.799999893E-1	2.376000023E1	-4.205999756E1	4.830953742E1
6.405799880E-1	-4.199999869E-1	2.393999863E1	-4.229999924E1	4.860647971E1
6.506108540E-1	-5.399999619E-1	2.405999947E1	-4.247999954E1	4.882341175E1
6.606400540E-1	-8.399999738E-1	2.351999855E1	-4.181999969E1	4.798758492E1
6.706709200E-1	-5.999999642E-1	2.327999878E1	-4.163999939E1	4.770962054E1
6.807018200E-1	-8.999999762E-1	2.303999901E1	-4.163999939E1	4.759770061E1
6.907326860E-1	-9.599999785E-1	2.285999870E1	-4.181999969E1	4.766983863E1
7.007635520E-1	-8.999999762E-1	2.303999901E1	-4.211999893E1	4.801818264E1
7.107944180E-1	-7.799999714E-1	2.315999985E1	-4.236000061E1	4.828419663E1
7.208253180E-1	1.199999973E-1	2.351999855E1	-4.247999954E1	4.855672037E1
7.308228180E-1	2.399999946E-1	2.357999992E1	-4.236000061E1	4.848137424E1
7.408203840E-1	-5.999999866E-2	2.345999908E1	-4.236000061E1	4.842256508E1
7.508179170E-1	7.199999690E-1	2.334000015E1	-4.181999969E1	4.789766572E1
7.608154830E-1	2.399999946E-1	2.285999870E1	-4.157999802E1	4.745032535E1
7.708130490E-1	-2.999999821E-1	2.268000031E1	-4.175999832E1	4.752230922E1
