"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
0.000000000E0	-4.799999893E-1	3.563999939E1	-3.173999977E1	4.772701061E1
9.999000000E-3	-2.999999821E-1	3.527999878E1	-3.150000000E1	4.729712797E1
1.999650000E-2	-5.999999866E-2	3.552000046E1	-3.131999969E1	4.735627111E1
2.999416600E-2	4.199999869E-1	3.545999908E1	-3.179999924E1	4.763221480E1
3.999166600E-2	5.399999619E-1	3.581999969E1	-3.185999870E1	4.794187622E1
4.998926600E-2	5.999999866E-2	3.611999893E1	-3.215999985E1	4.836241840E1
5.998693200E-2	-2.399999946E-1	3.611999893E1	-3.263999939E1	4.868348265E1
6.998464600E-2	-4.199999869E-1	3.623999786E1	-3.204000092E1	4.837432691E1
7.998227100E-2	-1.799999923E-1	3.618000031E1	-3.161999893E1	4.805048548E1
8.997982600E-2	3.599999845E-1	3.629999924E1	-3.107999992E1	4.778897299E1
9.997752600E-2	4.799999893E-1	3.611999893E1	-3.084000015E1	4.749726658E1
1.099750710E-1	7.199999690E-1	3.593999863E1	-3.089999962E1	4.740265686E1
1.199726540E-1	9.599999785E-1	3.534000015E1	-3.035999870E1	4.660007223E1
1.299701920E-1	6.599999666E-1	3.527999878E1	-3.077999878E1	4.682437654E1
1.399677630E-1	1.799999923E-1	3.563999939E1	-3.089999962E1	4.717045614E1
1.499653630E-1	-1.799999923E-1	3.563999939E1	-3.126000023E1	4.740706246E1
1.599629250E-1	-7.199999690E-1	3.629999924E1	-3.227999878E1	4.858195823E1
1.699605130E-1	-1.139999986E0	3.641999817E1	-3.215999985E1	4.860022075E1
1.799580680E-1	-1.019999981E0	3.611999893E1	-3.173999977E1	4.809493017E1
1.899556460E-1	-1.079999924E0	3.618000031E1	-3.179999924E1	4.818089635E1
1.999531960E-1	-1.079999924E0	3.636000061E1	-3.179999924E1	4.831620842E1
2.099507670E-1	-6.599999666E-1	3.611999893E1	-3.173999977E1	4.808864220E1
2.199483120E-1	-3.599999845E-1	3.563999939E1	-3.150000000E1	4.756668116E1
2.299458770E-1	2.399999946E-1	3.504000092E1	-3.107999992E1	4.683829266E1
2.399434600E-1	7.799999714E-1	3.479999924E1	-3.065999985E1	4.638624729E1
2.499410200E-1	1.019999981E0	3.473999786E1	-3.065999985E1	4.634591074E1
2.599385960E-1	7.799999714E-1	3.515999985E1	-3.101999855E1	4.689428856E1
2.699361510E-1	7.799999714E-1	3.552000046E1	-3.126000023E1	4.732300124E1
2.799337220E-1	2.399999946E-1	3.581999969E1	-3.167999840E1	4.781999871E1
2.899312730E-1	-5.999999866E-2	3.557999802E1	-3.185999870E1	4.775980921E1
2.999288390E-1	-1.199999973E-1	3.575999832E1	-3.221999741E1	4.813439636E1
3.099263390E-1	-4.799999893E-1	3.545999908E1	-3.239999771E1	4.803542221E1
3.199239050E-1	-7.799999714E-1	3.539999771E1	-3.257999802E1	4.811677991E1
3.299214710E-1	-7.799999714E-1	3.575999832E1	-3.245999908E1	4.830152607E1
3.399190370E-1	-5.399999619E-1	3.563999939E1	-3.215999985E1	4.800798628E1
3.499166030E-1	-1.799999923E-1	3.629999924E1	-3.209999847E1	4.845753034E1
3.599141360E-1	1.799999923E-1	3.605999756E1	-3.185999870E1	4.811876288E1
3.699116690E-1	1.799999923E-1	3.588000107E1	-3.173999977E1	4.790443051E1
