"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
0.000000000E0	-1.019999981E0	2.315999985E1	-4.170000076E1	4.771075410E1
1.099900000E-2	-1.199999928E0	2.357999992E1	-4.139999771E1	4.765937690E1
2.149650000E-2	-1.319999933E0	2.345999908E1	-4.145999908E1	4.765548742E1
3.182750000E-2	-1.139999986E0	2.345999908E1	-4.139999771E1	4.759864460E1
4.207500000E-2	-1.199999928E0	2.327999878E1	-4.134000015E1	4.745939270E1
5.227260000E-2	-8.999999762E-1	2.315999985E1	-4.163999939E1	4.765590354E1
6.243693300E-2	-6.599999666E-1	2.315999985E1	-4.127999878E1	4.733771744E1
7.257736100E-2	-1.319999933E0	2.315999985E1	-4.157999802E1	4.761327785E1
8.269998600E-2	-1.259999990E0	2.339999962E1	-4.193999863E1	4.804280453E1
9.280865200E-2	-1.679999948E0	2.327999878E1	-4.193999863E1	4.799733563E1
1.029062520E-1	-1.679999948E0	2.334000015E1	-4.205999756E1	4.813129337E1
1.129947060E-1	-1.500000000E0	2.351999855E1	-4.175999832E1	4.795141074E1
1.230758720E-1	-1.679999948E0	2.351999855E1	-4.193999863E1	4.811419974E1
1.331504100E-1	-1.259999990E0	2.363999939E1	-4.205999756E1	4.826469274E1
1.432194100E-1	-1.259999990E0	2.351999855E1	-4.271999741E1	4.878294897E1
1.532836760E-1	-7.799999714E-1	2.327999878E1	-4.295999908E1	4.886847925E1
1.633438010E-1	-7.199999690E-1	2.310000038E1	-4.247999954E1	4.835988812E1
1.734002710E-1	-1.500000000E0	2.303999901E1	-4.218000031E1	4.808579811E1
1.834533820E-1	-1.199999928E0	2.292000008E1	-4.139999771E1	4.733630968E1
1.935035920E-1	-1.199999928E0	2.303999901E1	-4.134000015E1	4.734212888E1
2.035511420E-1	-1.019999981E0	2.285999870E1	-4.170000076E1	4.756584914E1
2.135963320E-1	-4.199999869E-1	2.279999924E1	-4.175999832E1	4.758060345E1
2.236393770E-1	-7.199999690E-1	2.327999878E1	-4.236000061E1	4.834093912E1
2.336804200E-1	-1.079999924E0	2.321999931E1	-4.265999985E1	4.858199620E1
2.437196700E-1	-1.199999928E0	2.310000038E1	-4.271999741E1	4.858032725E1
2.537572700E-1	-1.139999986E0	2.334000015E1	-4.271999741E1	4.869346348E1
